age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,3,1,0,0,0,0,1,6,1,261,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,7,1,3,1,0,0,1,6,1,149,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
37,7,1,3,0,2,0,1,6,1,226,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
40,0,1,1,0,0,0,1,6,1,151,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
56,7,1,3,0,0,2,1,6,1,307,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
45,7,1,2,1,0,0,1,6,1,198,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
59,0,1,5,0,0,0,1,6,1,139,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,1,1,7,1,0,0,1,6,1,217,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
24,9,2,5,0,2,0,1,6,1,380,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
25,7,2,3,0,2,0,1,6,1,50,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
41,1,1,7,1,0,0,1,6,1,55,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
25,7,2,3,0,2,0,1,6,1,222,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
29,1,2,3,0,0,2,1,6,1,137,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
57,3,0,0,0,2,0,1,6,1,293,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,1,1,1,0,2,0,1,6,1,146,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
54,5,1,2,1,2,2,1,6,1,174,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
35,1,1,1,0,2,0,1,6,1,312,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
46,1,1,1,1,2,2,1,6,1,440,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
50,1,1,2,0,2,2,1,6,1,353,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
39,4,2,2,1,0,0,1,6,1,195,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
30,10,1,3,0,0,0,1,6,1,38,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,1,1,0,1,2,0,1,6,1,262,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
55,5,2,3,0,2,0,1,6,1,342,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,0
